Transaction_ID,Description,Category
96,Zoo Admission,Entertainment
101,Lunch at Veggie Delight,Food and Drinks
103,Bakery Deluxe,Food and Drinks
105,Lunch at Burrito Bowl,Food and Drinks
108,Café Noir,Food and Drinks
110,Lunch at Sushi Train,Food and Drinks
112,Bakery Deluxe,Food and Drinks
114,Lunch at Poke Place,Food and Drinks
116,Café Noir,Food and Drinks
118,Lunch at Mediterranean Grill,Food and Drinks
102,Phone Accessories Shop,Shopping
106,Pet Store,Shopping
111,Bookstore,Shopping
119,Home Decor Store,Shopping
100,Metro Ticket,Transportation
104,Metro Ticket,Transportation
109,Metro Ticket,Transportation
113,Metro Ticket,Transportation
117,Metro Ticket,Transportation
115,Theater Ticket,Entertainment
107,Rental Income,Miscellaneous Income
121,Coffee Bean,Food and Drinks
122,Steakhouse,Food and Drinks
124,Brunch at Avocado Toast,Food and Drinks
126,Ice Cream Truck,Food and Drinks
129,Café Noir,Food and Drinks
131,Lunch at Noodle Bar,Food and Drinks
139,Deliveroo,Food and Drinks
120,Farmers Market,Groceries
127,Supermarket Express,Groceries
133,Amazon.com,Spending at Shopping
134,Etsy,Spending at Shopping
135,eBay,Spending at Shopping
136,Steam Games,Spending at Shopping
137,Apple App Store,Spending at Shopping
123,Gas Station,Transportation
130,Metro Ticket,Transportation
134,Uber,Transportation
125,Aquarium Visit,Entertainment
147,Nintendo eShop,Entertainment
150,Humble Bundle,Entertainment
153,Bandcamp,Entertainment
156,Playstation Store,Entertainment
157,Ticketmaster,Entertainment
142,Uber Eats,Food and Drinks
149,Just Eat,Food and Drinks
151,Wish,Groceries
155,Etsy,Groceries
154,Depop,Groceries
146,Airbnb,Housing and Utilities
140,Google Play Store,Shopping
141,AliExpress,Shopping
143,Wayfair,Shopping
145,ASOS,Shopping
148,Zalando,Shopping
158,Revolut Top-up,Subscriptions and Fees
159,Patreon,Subscriptions and Fees
160,GOG.com,Entertainment
187,Board Game Cafe,Entertainment
188,Escape Room,Entertainment
189,Karaoke Bar,Entertainment
190,Bowling Alley,Entertainment
191,Mini Golf,Entertainment
192,Arcade,Entertainment
181,Vinyl Record Store,Shopping
182,Thrift Store,Shopping
186,Comic Book Store,Shopping
196,University Bookstore,Shopping
198,Library Late Fee,Shopping
199,Bike Shop,Shopping
183,Craft Beer Shop,Food and Drinks
185,Vape Shop,Food and Drinks
193,Gym Protein Shake,Food and Drinks
194,Office Vending Machine,Food and Drinks
195,Street Food Vendor,Food and Drinks
197,Campus Cafe,Food and Drinks
184,Organic Food Store,Groceries
180,Phone Screen Replacement,Repairs and Maintenance
201,Food Co-op,Food and Drinks
210,Karaoke Bar,Food and Drinks
200,Flea Market,Entertainment
203,Dance Class,Entertainment
206,Cooking Class,Entertainment
207,Wine Tasting,Entertainment
208,Pottery Workshop,Entertainment
211,Rock Climbing Gym,Entertainment
212,Surf Shop Rental,Entertainment
213,Ski Pass,Entertainment
214,Camping Equipment Rental,Entertainment
215,Kayak Rental,Entertainment
216,Fishing License,Entertainment
217,Golf Course Green Fee,Entertainment
218,Tennis Court Rental,Entertainment
219,Swimming Pool Entry,Entertainment
202,Yoga Studio,Health and Wellness
204,Language Learning App,Subscriptions and Fees
205,Online Course,Subscriptions and Fees
220,Gym Day Pass,Entertainment
221,Laser Tag,Entertainment
222,Trampoline Park,Entertainment
224,Go-Kart Track,Entertainment
225,Paintball,Entertainment
226,ATM Withdrawal Fee,Miscellaneous Expense
227,Bank Transfer Fee,Miscellaneous Expense
228,Foreign Transaction Fee,Miscellaneous Expense
229,Credit Card Annual Fee,Miscellaneous Expense
230,Overdraft Fee,Miscellaneous Expense
231,Safe Deposit Box Rental,Miscellaneous Expense
232,Investment Management Fee,Miscellaneous Expense
233,Clothing Alteration,Personal Care
234,Shoe Shine,Personal Care
236,Suit Dry Cleaning,Personal Care
235,Watch Strap Replacement,Personal Care
237,Leather Goods Repair,Personal Care
238,Jewelry Cleaning,Personal Care
239,Rental Income,Investments
223,Freelancing,Miscellaneous Income
258,Cafe Mulino,Food and Drinks
252,Plant Nursery,Shopping
253,Garden Tools Rental,Shopping
254,Lawn Mowing Service,Shopping
255,Tree Trimming Service,Shopping
256,Pest Control Service,Shopping
240,Tire Rotation,Vehicle Maintenance
241,Oil Change,Vehicle Maintenance
242,Car Detailing,Vehicle Maintenance
243,Windshield Wiper Replacement,Vehicle Maintenance
244,Battery Replacement,Vehicle Maintenance
245,Brake Pad Replacement,Vehicle Maintenance
246,Antivirus Software Renewal,Subscriptions and Fees
247,Cloud Storage Subscription,Subscriptions and Fees
248,Domain Name Renewal,Subscriptions and Fees
249,Website Hosting Fee,Subscriptions and Fees
250,VPN Service,Subscriptions and Fees
251,Password Manager Subscription,Subscriptions and Fees
257,GPT Subscription,Subscriptions and Fees
